Year;Total employment in transportation;Employment in transportation and warehousing sector;Employment in transportation-related industries;E-commerce sales (US$ billions);Transportation and warehousing employment (millions);U.S. Urban Population;DGP;Domestic demand;Exports of goods;Imports of goods;Transport equipment
1990;12544935.65;3477916.667;9067018.979;0.66;12.55;75.3;5963144;6040998;403265;508071;105103
1991;12227406.68;3463875;8763531.683;1;12.23;75.7;6158129;6186743;430135;500720;103781
1992;12080670.36;3461633.333;8619037.032;1.33;12.08;76.1;6520327;6555066;455308;544927;104521
1993;12192532.66;3552383.333;8640149.323;1.55;12.19;76.49;6858559;6923733;467723;592761;119191
1994;12565361.99;3698466.667;8866895.328;2;12.57;76.88;7287236;7379724;518371;676812;138253
1995;12923594.32;3833966.667;9089627.653;5;12.92;77.26;7639749;7729510;592442;757449;145803
1996;12408543.33;3930441.667;8478101.666;7;12.41;77.64;8073122;8169498;628785;807448;151676
1997;13435066.32;4020458.333;9414607.988;10;13.44;78.01;8577552;8679523;699887;885654;160858
1998;13691935.34;4160800;9531135.337;15;13.69;78.38;9062817;9225528;692565;930751;173374
1999;13976248.31;4291941.667;9684306.648;20;13.98;78.74;9630663;9886497;711724;1051210;204030
2000;14109499.69;4400675;9708824.694;25;14.11;79.06;10252347;10627396;795948;1250105;200654
2001;13942628;4361191.667;9581436.332;30;13.94;79.23;10581822;10949752;741205;1173773;185627
2002;13589295.33;4211683.333;9377611.996;35;13.59;79.41;10936418;11361820;709026;1194371;175312
2003;13404688.33;4172683.333;9232004.992;40;13.4;79.58;11458246;11961372;737059;1291341;168415
2004;13434979.31;4235558.333;9199420.979;45;13.43;79.76;12213730;12832805;829962;1507346;196357
2005;13566154.99;4347966.667;9218188.328;50;13.57;79.93;13036637;13757829;921914;1715464;220242
2006;13656168.33;4456966.667;9199201.659;60;13.66;80.1;13814609;14585533;1044937;1895719;237380
2007;13672467.68;4528033.333;9144434.35;70;13.67;80.27;14451860;15170286;1161271;1999662;232624
2008;13363017;4495875;8867142.004;80;13.36;80.44;14712845;15435933;1292536;2144269;195744
2009;12389738.98;4224783.333;8164955.65;90;12.39;80.61;14448932;14845383;1058426;1585371;119193
2010;12210962.65;4179200;8031762.652;100;12.21;80.77;14992052;15505955;1272440;1944815;182876
2011;12429146.32;4289275;8139871.319;110;12.43;80.94;15542582;16122044;1462264;2240535;227513
2012;12744123.33;4403658.333;8340464.998;120;12.74;81.12;16197007;16765579;1521582;2301396;264984
2013;12914516.68;4485966.667;8428550.015;130;12.92;81.3;16784851;17275632;1559210;2296372;292633
2014;13267397.64;4648566.667;8618830.972;140;13.27;81.48;17521747;18030005;1614894;2391477;321439
2015;13702818.31;4858575;8844243.31;150;13.7;81.67;18219297;18740711;1494354;2287319;353622
2016;14011092.33;5003516.667;9007575.659;160;14.01;81.86;18707189;19227759;1442654;2220974;340117
2017;14288966;5178175;9110790.996;170;14.29;82.06;19485394;20063815;1535891;2378548;335234
